Rank,ID,Background,Hair,Skin,Eyes,Body,Head,Accessory,Glasses,Hands,Total
82,2609,9.79020979,0.9345794393,0.4410838059,0.2169421488,1.682692308,2.375438596,0,0,0,15.44094609
83,423,9.79020979,1.41509434,1.275045537,0.5259203606,0.6628787879,0.9762076424,0,0,0.7950850662,15.44044152
84,3040,9.79020979,0.3896103896,0.4474272931,0.5362614913,0.7630813953,1.781578947,0,1.684065934,0,15.39223524
85,1168,0.9090909091,0.4444444444,1.218450827,10.31941032,0.5561440678,1.207850134,0,0,0.6979754398,15.35336614
86,466,0.2907983106,0.4444444444,1.218450827,10.31941032,2.1875,0.8797920728,0,0,0,15.34039597
87,1195,0.9026434558,3.157894737,1.678657074,3.856749311,2.1875,1.781578947,1.065625,0,0.6305847076,15.26123323
88,3245,0.9090909091,3.157894737,5.363984674,3.743315508,0.7211538462,0.4510326449,0,0,0.8708074534,15.21727977
89,31,9.79020979,0.4444444444,0.4474272931,0.2169421488,1.286764706,1.207850134,0,1.813609467,0,15.20724798
90,224,0.2907983106,0.4444444444,1.678657074,5.454545455,2.85326087,0.5524275806,0,3.929487179,0,15.20362091
91,2225,4.713804714,1.477832512,1.678657074,4.061895551,1.526162791,1.018045113,0,0,0.7143342391,15.19073199
92,942,1.081637909,0.4195804196,1.275045537,10.31941032,0.7543103448,0.630647415,0.682,0,0,15.16263194
93,3790,1.081637909,0.4444444444,0.8641975309,10.31941032,0.7720588235,1.018045113,0,0,0.6531055901,15.15289973
94,2701,9.79020979,2.205882353,0.4474272931,0.5259203606,1.5625,0.6090868196,0,0,0,15.14102662
95,373,0.4294917681,1.020408163,0.4410838059,10.31941032,0.7543103448,2.159489633,0,0,0,15.12419403
96,1293,0.9026434558,2.205882353,0.8641975309,10.31941032,0.8203125,0,0,0,0,15.11244616
97,3727,1.80102916,0.4444444444,1.275045537,10.31941032,1.262019231,0,0,0,0,15.10194869
98,3160,9.79020979,0.9345794393,1.218450827,0.2169421488,0.8306962025,2.095975232,0,0,0,15.08685364
99,2485,9.79020979,0.3896103896,0.4410838059,0.2169421488,1.773648649,1.16824849,0,0,1.30621118,15.08595445
100,1965,0.9026434558,0.3896103896,1.218450827,10.31941032,1.640625,0,0,0,0.6055283616,15.07626835
101,1082,0.9026434558,0.9345794393,1.275045537,1.100340582,0.7720588235,0.6598440546,0,9.430769231,0,15.07528112
102,4120,3.602058319,0.4444444444,5.363984674,3.743315508,0.7211538462,0.4510326449,0,0,0.7143342391,15.04032368
103,3993,1.80102916,0.9345794393,1.678657074,5.454545455,0.6628787879,0.3872997712,0,2.481781377,1.604118993,15.00489006
104,3020,3.235747304,0.4195804196,1.678657074,5.454545455,0.8203125,2.639376218,0,0,0.7433722163,14.99159119
105,1646,0.2907983106,0.4195804196,5.363984674,4.061895551,1.426630435,0.3872997712,1.082539683,1.209072978,0.7433722163,14.98517404
106,1317,0.4294917681,0.9036144578,0.4410838059,0.5362614913,1.526162791,1.018045113,0,9.430769231,0.6531055901,14.93853425
107,2097,0.9090909091,0.4195804196,1.275045537,10.31941032,0.8989726027,1.113486842,0,0,0,14.93558663
108,2593,0.4294917681,0.9036144578,5.363984674,3.856749311,0.7211538462,2.226973684,0,0,1.428668478,14.93063622
109,1797,1.80102916,1.298701299,5.363984674,3.743315508,0.6696428571,2.036090226,0,0,0,14.91276372
110,3464,9.79020979,0.4195804196,0.4410838059,0.2169421488,1.339285714,1.096356275,0,0,1.604118993,14.90757715
111,3058,0.4294917681,2.586206897,5.363984674,4.061895551,0.8989726027,0.8797920728,0,0.6736263736,0,14.89396994
